Titre,URL,Note,Pseudo,Avis
Baldur's Gate III,https://www.jeuxvideo.com/jeux/mac/jeu-1299145/avis/note/?p=1,20/20,Orphes_fr,"EA qui servira à faire un jeux nickel pour sa sortie !On est de suite dans l’ambiance d&d.Pour le moment, c’est une bonne surprise... Vivement la version gold !"
,https://www.jeuxvideo.com/jeux/mac/jeu-1299145/avis/note/?p=1,20/20,Nashandra_Aldia,"Vivement que la version finale soit fin prête ! Ce jeu déchire, tout est de qualité, et j'adore les cinématique, qui me font penser à Dragon Age Origin. Vivement dans un an que l'on ai le jeu au complet ! Une pépite à vivre seul ou entre amis !"
Baldur's Gate III,https://www.jeuxvideo.com/jeux/pc/jeu-5571/avis/note/?p=1,20/20,WarMassi,"Deux heures après le démarrage de l'EA du jeu, certains crient déjà au scandale... ""Oui je veux avoir 6 persos dans ma team, je peux pas donc ça vaut 0/20..."", ""Oui ça ressemble pas à BG1, donc 2/20""..."
,https://www.jeuxvideo.com/jeux/pc/jeu-5571/avis/note/?p=1,20/20,Lord_bahamut,"Une note relativement élevée afin de , je l'avoue, contre balancer des notes négativement abusées. Ok les puristes BG n'y trouvent peut-être pas leur compte, mais si la non fidélité du jeu à 100% à un licence morte depuis 20 ans doit forcément mériter des 0/20, alors il y a clairement un manque d'objectivité. C'est pourquoi j'en fait autant.Pour l'instant le jeu me plaît énormément, replonger dans les royaumes oubliés avec une petite sauce D&D, revoir des Illithid etc... me rappel mes belles heures sur nwn et nwn 2.Ce jeu est vraiment prometteur, et on envisage non sans mal une rejouabilité plus qu'intéressante."
,https://www.jeuxvideo.com/jeux/pc/jeu-5571/avis/note/?p=1,20/20,Radnorr,"Mon avis s'adresse au haters.Je fais partie de ces joueurs de la première heure de BG. Les deux BG ont été une révélation pour moi et dans mon panthéon, ils trônent à la deuxième place derrière Civilization 4.Alors oui il y a moyen d’être déçu par BG3… Si on s’obstine à le hisser au niveau de nos rêves les plus fous que nous faisions dans la fièvre de notre addiction aux deux premiers BG.Mais bon. Il faut se rendre compte que le monde vidéoludique évolue et que votre, enfin notre, génération doit prendre le train en marche. Ce jeu est une réussite et vos notes médiocres ne traduise qu’une chose : vous êtes restez à quai.Ne brader pas votre bonheur. Ouvrez votre esprit. Faîtes le deuil de vos vieux reflexes et prenez simplement du plaisir à découvrir les descendants de nos Imoen et Mincs adorés.Vous en sortirez gagnants."
,https://www.jeuxvideo.com/jeux/pc/jeu-5571/avis/note/?p=1,20/20,_Ysh_,"Un 20 pour compensé les note injustifiées des mécréants.Le jeu est un EARLY ACCESS :Travail impéccable, toutes les promesses y sont. Il est évident qu'il y a un long chemin à parcourir, mais la base est présente ^^Ils ont déjà prévenu que le Eearly Access durerait longtemps. Je m'attends à au moins 2 ans, même plus.Le test de 87 est décevant. Autant la note de 14 est parfaitement logique (j'aurait donné 15 à ce stade si les nazes ne mettaient pas 1/20)Par contre, même si les points négatifs de 87 sont très justes. 6 points négatifs sur les 8 sont faux.- De très nombreux bugs à accepter : crash, collision, cinématiques, interface, pathfinding, IA...= Parfaitement juste- Un système de jets de dé central qui peut provoquer la frustration= critique débile, c'est LE PRINCIPE de D&D, si tu n'aimes pas ça, ne joue pas à du D&D - Problèmes de lecture sur les combats à plusieurs étages= Très faible et rare - Difficulté parfois mal dosée= C'est absolument pas mal dosé, c'est le monde de D&D, c'est ""réaliste"" - Assez mal optimisé : configuration solide recommandée= Faux, le jeu tourne sur des ordi vieux de 6 ans à la perfection. Je me demande qu'elle crtique serait aposée pour Flight Simulator - Une interface qui manque d'âme= Une interface très sympa. Je veux bien éventuellement dire qu'elle n'a pas toute l'âme qu'elle mérite. - Nous attendons les nouvelles classes et les nouvelles races= Ben c'est une fois de plus le principe d'une Early Access.. Et ça avait été annoncé dans les FAQ. Critique débile. - Seulement le premier acte et beaucoup de questions sans réponses= Ben c'est une fois de plus le principe d'une Early Access.. Et ça avait été annoncé dans les FAQ. Critique débile.Il faut des critiques fondées en fonction de ce que l'on test.On ne test pas une Twingo comme une Ferrari.. -> La Twingo ne va qu'à 190km/h pieds au planché, C'EST HONTEUX... Ben ouai mec, mais ça, tout le monde le sait, c'est juste LOGIQUE !"
,https://www.jeuxvideo.com/jeux/pc/jeu-5571/avis/note/?p=1,20/20,Pseudo supprimé,"Un très bon jeu. Les graphismes sont bien travaillées et j'adore les cinématiques qui nous propulsent dans l'histoire. Le choix des dialogues aussi n'est pas s'en rappeler les meilleurs bioware. En attendant le prochain dragon age, on a pas beaucoup de RPG de cette trempe et Baldur's gate en faite partie. Vivement la version finale !"
,https://www.jeuxvideo.com/jeux/pc/jeu-5571/avis/note/?p=1,20/20,Joker_who_laugh,"J'ai décidé de profiter de l'early access pour me créer un personnage pas trop gentil 👹.      Hier je suis tombé sur un couple de monstre qui était en plein débat amoureux et j'avais l'option de les attaquer.      Plus tard j'ai rencontré un autre groupe de monstre et avec un peu de persuasion, leur chef ma aidé a les tuer et il a fini par ce suicider devant moi.      Sa n'en prend pas plus. Game of the year ! 20/20 early access ou pas, je m'en balance."
,https://www.jeuxvideo.com/jeux/pc/jeu-5571/avis/note/?p=1,20/20,bettenzo,"Jeux sublime, quand on aime le genre, les musiques sont folle, le jeu est beau et bien fournis, il y as de quoi faire, dépasse la durée de vie de bon nombres de jeu commercialisé et de loin alors qu'il n'y as que l'acte 1... Un chef d'œuvre en devenir a n'en pas douter."
,https://www.jeuxvideo.com/jeux/pc/jeu-5571/avis/note/?p=1,20/20,Dinin70,"Je sais c'est nul de mettre 20/20, mais faut pas déconner là... Il y a trop de notes sanctions totalement injustifiées.En l'état, de ce que je vois, pour moi c'est un solide 18/20.1. Débat ""Baldur's Gate""Alors. Je suis un vieux fan de tous les jeux Infinity Engine et D&D tels que Baldur's Gate, IceWind Dale, Foutain of Element evil, Pathfinder, Pillars of Eternity etc.J'ai également absolument adoré DoS. Surtout le 2 qui est pour moi un des meilleurs CRPG jamais fait.Et je peux comprendre l'amertume de certains anciens qui adoraient BG 1 et BG 2. Je pense que ce jeu aurait dû s'appeler Baldur's Gate Descent into Avernus, afin de moins faire grincer des dents, car en effet vous aurez beaucoup plus de ""vibe BG"" avec un Pillars of Eternity 1 ou Pathfinder. CLAIREMENT.Mais BG2 est terminé... C'est fini. L'arc narratif est clôturé. Les Bhaalspawns sont tués avec Amelyssan. L'histoire est finie. Arretez de dire ""oui mais Minsc et Bouh"". C'est juste terminé, inutile de vouloir une suite, il n'y a rien à suivre.2. BugsCertaines animations faciales ne sont pas exécutées. Ils ne les ont pas encore développées.Perso, aucun plantage. Seulement 1 fois quand j'ai transféré le full screen de mon premier à mon deuxième écran. Sinon rien du tout. Le jeu est super stable. Si ça plante, voyez plutôt du côté de vos drivers...(Perso j'ai un 3600X + une Fury, 16GB de Ram)Egalement, le jeu fonctionne mieux chez moi en DX11 qu'en Vulkan.3. Graphismes / DA / InterfaceCe jeu est BEAU. Il est lisible, agréable. C'est DoS en mieux. Les animations faciales (quand implémentées) sont super bien faites.Perso je ne comprends pas les gens qui râlent sur l'interface... Elle est super intuitive et bien fichue. On trouve tout ce dont on a besoin.La DA est très semblable à DoS, c'est un fait. Si vous n'aimez pas la DA (encore que, je ne vois comment on ne peut pas l'aimer) car vous préférez de la 3D iso pour une question nostalgique, bah désolé, vous êtes sans espoir. Achetez vous Pathfinder (qui est un excellent jeu soit dit en passant).4. D&D. Je ne suis pas pro des règle de la 5e, je ne joue pas à D&D, mais pour moi, ça fonctionne très bien. Je regrette juste que le saut donne un tel bonus de mouvement. Même quand il n'y a pas besoin de sauter, exécutez un saut et puis un mouvement, ça vous fait couvrir une bien plus grande distance qu'en allant simplement à pied.C'est un peu débile. Je ne sais pas ce que disent les règles à ce niveau, mais niveau gameplay, je trouve ça un peu nul.6. Compagnons.Franchement j'ai vu une sorte de débat autour des personnages, comme quoi ils sont insaccables... Bah... Heuuu... Non, je ne trouve pas. Au contraire. Ils sont peut-être pour l'instant un peu génériques, moins attachants que dans BG (mais dieu merci moins casses pieds que Imoen...) et même DoS2 (Ifhan et Sebille étaient mes préférés). Mais il faut dire que c'est difficile d'arriver au niveau de Minsc, Viconia ou Edwin.Mais franchement, rien de quoi en faire une soupe.7. Création du personnage.Très semblable à DoS. Et je regrette un peu. DoS avait une approche très ouverte pour le personnage. Rien n'était définitif. Ce n'était donc pas très important de rater au début son perso. Mais ce n'est pas le cas de D&D...Et là j'aimerais vraiment, mais VRAIMENT, que Larian s'inspire (pour ne pas dire copier) de la création du personnage qu'il y a dans Pathfinder, où l'on peut voir TOUTE la progression de la classe et sous classe jusqu'au niveau 20.J'avais passé 2h (sans déconner) sur la création du personnage dans Pathfinder afin de passer en revue toutes les skills, les classes, les sous classes, l'évolution au fil des niveaux, les synergies etc...Vraiment Larian, essayez de faire un effort à ce niveau là. D'où mon 18Concernant le côté ""aspect"" de votre héros, pour l'instant il n'y a pas beaucoup de visages disponibles, mais vous pouvez vraiment créer de chouettes tronches. J'espère vraiment que quand le jeu sera terminé on aura BEAUCOUP plus de customisations possibles.Conclusion.Perso j'adore. Je pense qu'il faut essayer de faire la part des choses, oublier BG1 et 2. Voir ce jeu comme un ""stand alone"", et si vous passez ce cap, vous aurez un excellent jeu. Après il faut voir le scenario dans son entiéreté, il peut être totalement être bâclé, il peut être exceptionnel, ce sera surtout ça qui va définir à mon avis le sort de ce jeu. Et pas la D.A. ou le passage de RTwP vers Turn base. Cela dit, si vous êtes vraiment allergiques au Turn based... Bah là évidemment ça ne passera. J'ai adoré dans DoS, j'adore dans BG3. RTwP j'adore aussi. Ce sont des styles différents. Chacun ses pours et ses contres."
