Titre,URL,Note Journaliste,Note Publique,Synopsis,Date,Caracteristique
Palworld,https://www.jeuxvideo.com/jeux/jeu-1417169/,--,15.2,"Palworld est un jeu de survie multijoueur en monde ouvert axé sur la construction. L'action se déroule dans un monde où vous pouvez vous lier d'amitié avec de mystérieuses créatures appelées les ""Pal"". Vous pouvez les faire se battre entre eux, les faire construire des bâtiments, les faire cultiver vos terres, et également les faire travailler pour vous. Un accès anticipé est prévu pour le mois de janvier 2024.","Sortie : 
                    19 janv. 2024","['Editeur(s) / Développeur(s)\n\n\n                                    Pocket Pair', 'Sortie France\n\n\n                                    19 janv. 2024', 'Genre(s)\n\n\n                                        Simulation de vie\n                                     \n                                        Aventure\n                                    \n\n                                        TPS', 'Classification\n\n\n                                    +12 ans']"
Baldur's Gate III,https://www.jeuxvideo.com/jeux/jeu-58825/,19,20,"Baldur's Gate III est le nouvel opus des jeux de rôle de la série Baldur's Gate, issue de l'univers Donjons et Dragons. Il se déroule avant le premier opus. Vous grandissez du premier au trentième niveau, de Baldur's Gate aux Enfers. Ce RPG reprend le principe de son aîné et propose la création d'un personnage parmi diverses classes, caractéristiques et compétences.","Sortie : 
                    03 août 2023","['Editeur(s) / Développeur(s)\n\n\n                                        Wizards of the Coast\n                                     \n                                        Larian Studios', 'Sortie France\n\n\n                                    03 août 2023', 'Genre(s)\n\n\n                                        RPG', 'Classification\n\n\n                                    +18 ans', 'Mode(s)\n\n\n                                    Jouable en solo\n                                \n\n                                    Multi en coopératif', 'Web\n\n\n                                        Site officiel', ""Modèle(s) économique(s)\n\n\n                                    Payant à l'acquisition"", 'Support(s)\n\n\n                                    Steam\n                                \n\n                                    GOG', 'Langue de la version disponible en France\n\n\n                                    Textes en français\n                                \n\n                                    Voix en anglais\n                                \n\n                                    Textes en anglais']"
Final Fantasy VII Rebirth,https://www.jeuxvideo.com/jeux/ps5/jeu-1590710/,19,16.1,"Final Fantasy VII Rebirth est la suite de Final Fantasy VII Remake, le projet de remake de Final Fantasy VII sorti initialement sur PS1 en 1997. Alors que Cloud et ses amis s'enfuient de Midgar, ils poursuivent leur quête de vérité, tandis que l'ombre de Sephiroth plane toujours sur eux.","Sortie : 
                    29 févr. 2024","['Editeur(s) / Développeur(s)\n\n\n                                        Square Enix', 'Sortie France\n\n\n                                    29 févr. 2024', 'Genre(s)\n\n\n                                        Action RPG', 'Classification\n\n\n                                    +16 ans']"
Helldivers II,https://www.jeuxvideo.com/jeux/jeu-1752697/,16,16.3,"Helldivers II est un jeu de tir à la troisième personne, jouable seul à ou plusieurs en coopération, où l'on doit affronter des tonnes d'ennemis extraterrestres. On peut notamment s'aider d'atouts spéciaux, que l'on peut faire délivrer directement du ciel, et miser beaucoup sur l'entraide tout en faisant attention aux tirs alliés.","Sortie : 
                    08 févr. 2024","['Editeur(s) / Développeur(s)\n\n\n                                        Arrowhead Game Studios', 'Sortie France\n\n\n                                    08 févr. 2024', 'Genre(s)\n\n\n                                        TPS\n                                     \n                                        Action', 'Classification\n\n\n                                    +18 ans']"
Skull and Bones,https://www.jeuxvideo.com/jeux/jeu-670684/,15,9,"Nous sommes dans l'âge d'or de la piraterie. Dans une époque où des capitaines renégats sont à la tête des plus puissantes flottes navales de guerre. Vous incarnez un capitaine pirate débutant et cupide, parti naviguer des Caraïbes à l'océan Indien. Pour réussir à devenir le pirate ultime, vous devrez construire une flotte de vaisseaux, éliminer vos rivaux, attaquer les routes ou peut-être déciderez de vous allier aux plus influents afin d'assouvir votre suprématie...","Sortie : 
                    16 févr. 2024","['Editeur(s) / Développeur(s)\n\n\n                                        Ubisoft', 'Sortie France\n\n\n                                    16 févr. 2024', 'Genre(s)\n\n\n                                        Simulation\n                                     \n                                        Action', 'Thème(s)\n\n\n                                        Pirates', 'Classification\n\n\n                                    +18 ans']"
Dragon's Dogma II,https://www.jeuxvideo.com/jeux/jeu-1590759/,16,9,"Dragon's Dogma II est un jeu de rôle-action développé par Capcom (Street Figther, Resident Evil, Devil May Cry, Monster Hunter...) qui se déroule dans un monde de fantasy. Suite du premier épisode sorti en 2012, le titre propose aux joueurs de définir leur propre expérience, de l'apparence de leur personnage en passant par la façon d'approcher les situations. Des pions à l'intelligence artificielle très développée peuvent aussi vous accompagner dans votre aventure.","Sortie : 
                    22 mars 2024","['Editeur(s) / Développeur(s)\n\n\n                                        Capcom', 'Sortie France\n\n\n                                    22 mars 2024', 'Genre(s)\n\n\n                                        Action RPG', 'Classification\n\n\n                                    +18 ans']"
Disney Dreamlight Valley,https://www.jeuxvideo.com/jeux/jeu-1567913/,14,16.1,Disney Dreamlight Valley est un jeu mélangeant simulation et exploration développé et édité par Gameloft. Plongez dans une aventure magique et un monde riche en magie au coté de vos personnages Disney et Pixar favoris.,"Sortie : 
                    05 déc. 2023","['Editeur(s) / Développeur(s)\n\n\n                                        Gameloft', 'Sortie France\n\n\n                                    05 déc. 2023', 'Genre(s)\n\n\n                                        Simulation\n                                     \n                                        Aventure', 'Classification\n\n\n                                    +3 ans']"
Enshrouded,https://www.jeuxvideo.com/jeux/pc/jeu-1744186/,--,17.3,"Enshrouded est un jeu coopératif (jusqu’à 16 joueurs) qui prend place dans un univers magique. L’humanité a été dévastée par une épidémie et vous et vos compagnons incarnez le dernier espoir de la civilisation. Pour débloquer vos pouvoirs, vous devrez combattre, récolter et gérer vos installations. Enshrouded sera disponible le 24 janvier, d'abord en accès anticipé.","Sortie : 
                    24 janv. 2024","['Editeur(s) / Développeur(s)\n\n\n                                    Keen Games GmbH', 'Sortie France\n\n\n                                    24 janv. 2024', 'Genre(s)\n\n\n                                        Action RPG\n                                     \n                                        Survie', 'Classification\n\n\n                                    +12 ans']"
Starfield,https://www.jeuxvideo.com/jeux/jeu-859868/,17,13,"Starfield est un jeu de rôle développé et édité par Bethesda Softworks. Ce dernier nous emmène vers un univers futuriste, notamment dans les confins les plus reculés de l'espace, loin de notre chère planète bleue.","Sortie : 
                    06 sept. 2023","['Editeur(s) / Développeur(s)\n\n\n                                        Bethesda Softworks', 'Sortie France\n\n\n                                    06 sept. 2023', 'Genre(s)\n\n\n                                        RPG']"
Call of Duty : Modern Warfare 3 (2023),https://www.jeuxvideo.com/jeux/jeu-1786254/,14,7.9,"Call of Duty : Modern Warfare 3 est la suite directe de Call of Duty : Modern Warfare 2. Dans cette nouvelle aventure, le capitaine Price et la Task Force 141 affrontent la menace ultime : le criminel de guerre Vladimir Makarov. En plus d'une campagne solo, le titre comprend un mode multijoueur ainsi qu'un mode zombie.","Sortie : 
                    10 nov. 2023","['Editeur(s) / Développeur(s)\n\n\n                                        Sledgehammer Games\n                                     \n                                        Activision Blizzard', 'Sortie France\n\n\n                                    10 nov. 2023', 'Genre(s)\n\n\n                                    Shooter\n                                \n\n                                        Tir\n                                     \n                                        FPS', 'Classification\n\n\n                                    +18 ans']"
